Method,Detection Rate,FP Rate,WRI,Rob. Re-FT,Rob. Pruning,Overhead (%)
GuardMark (ours),0.965,0.023,0.849,0.744,0.833,3.2
KGW-Watermark [6],0.907,0.043,0.788,0.596,0.739,5.8
Zhao et al. [7],0.891,0.056,0.765,0.547,0.702,7.4
EWD [8],0.859,0.076,0.731,0.493,0.656,9.1
Cater [9],0.821,0.094,0.695,0.402,0.591,11.3
IPGuard [10],0.791,0.11,0.664,0.351,0.545,14.7
No Watermark,0.052,0.05,0.002,0.001,0.001,0.0
