Configuration,WRI Mean,WRI Std
Full GuardMark (S+B+W),0.847,0.019
w/o Statistical (WIA),0.474,0.021
w/o Behavioral (FVA),0.567,0.021
w/o Weight-Space (WIA+),0.665,0.021
Statistical only,0.382,0.023
Behavioral only,0.289,0.022
Weight-Space only,0.182,0.026
